time,open,high,low,close
2018-03-13T15:15:00Z,23.02,23.02,23.02,23.02
2018-03-13T16:00:00Z,22.94,22.94,22.94,22.94
2018-03-13T18:45:00Z,22.85,22.85,22.85,22.85
2018-03-14T13:30:00Z,23,23,23,23
2018-03-15T19:15:00Z,22.96,22.96,22.96,22.96
2018-03-20T14:30:00Z,22.88,22.88,22.88,22.88
2018-03-21T19:15:00Z,22.92,22.92,22.92,22.92
2018-03-22T13:30:00Z,22.5,22.5,22.5,22.5
2018-03-22T16:15:00Z,22.34,22.34,22.34,22.34
2018-03-22T19:00:00Z,22.41,22.41,22.41,22.41
2018-03-22T19:15:00Z,22.35,22.35,22.35,22.35
2018-03-26T13:30:00Z,22.17,22.17,22.11,22.11
2018-03-26T15:15:00Z,22.03,22.03,22.03,22.03
2018-03-26T17:00:00Z,22.12,22.12,22.12,22.12
2018-03-27T13:30:00Z,22.43,22.46,22.43,22.46
2018-03-27T19:00:00Z,22.13,22.13,22.13,22.13
2018-03-28T14:00:00Z,22.17,22.17,22.17,22.17
2018-03-28T15:30:00Z,22.2,22.2,22.2,22.2
2018-03-29T17:45:00Z,22.45,22.45,22.45,22.45
2018-04-12T13:30:00Z,22.86,22.87,22.86,22.87
2018-04-18T13:30:00Z,23,23,23,23
2018-04-19T13:30:00Z,23.01,23.01,23.01,23.01
2018-04-23T13:30:00Z,23.28,23.28,23.28,23.28
2018-04-30T15:00:00Z,23.5,23.5,23.5,23.5
2018-04-30T16:15:00Z,23.47,23.47,23.45,23.45
2018-04-30T16:30:00Z,23.46,23.46,23.46,23.46
2018-05-01T19:45:00Z,23.55,23.55,23.55,23.55
2018-05-04T19:15:00Z,23.8,23.8,23.8,23.8
2018-05-09T13:30:00Z,23.95,23.95,23.95,23.95
2018-05-14T13:30:00Z,24.14,24.14,24.14,24.14
2018-05-16T17:15:00Z,24.25,24.26,24.25,24.26
2018-05-22T13:30:00Z,24.4,24.4,24.4,24.4
2018-05-23T14:30:00Z,24.1,24.1,24.1,24.1
2018-05-28T19:15:00Z,23.88,23.88,23.88,23.88
2018-05-28T19:45:00Z,23.87,23.87,23.87,23.87
2018-05-29T18:00:00Z,23.31,23.31,23.31,23.31
2018-05-29T18:15:00Z,23.29,23.29,23.29,23.29
2018-05-29T19:30:00Z,23.3,23.3,23.3,23.3
2018-05-30T15:00:00Z,23.5,23.5,23.5,23.5
2018-05-30T18:15:00Z,23.57,23.57,23.57,23.57
2018-05-31T13:45:00Z,23.54,23.54,23.54,23.54
2018-06-07T13:30:00Z,23.89,23.89,23.89,23.89
2018-06-11T14:00:00Z,23.9,23.9,23.9,23.9
2018-06-14T13:30:00Z,24.17,24.17,24.17,24.17
2018-06-14T14:45:00Z,24.21,24.21,24.21,24.21
2018-06-19T15:15:00Z,23.61,23.61,23.61,23.61
2018-06-20T15:00:00Z,23.63,23.63,23.63,23.63
2018-06-20T15:45:00Z,23.62,23.62,23.62,23.62
2018-06-25T16:15:00Z,23.15,23.15,23.15,23.15
2018-06-25T17:30:00Z,23.2,23.2,23.2,23.2
2018-06-25T18:30:00Z,23.2,23.2,23.2,23.2
2018-06-25T18:45:00Z,23.2,23.2,23.2,23.2
2018-06-25T19:30:00Z,23.17,23.17,23.17,23.17
2018-06-25T19:45:00Z,23.22,23.22,23.22,23.22
2018-07-03T18:15:00Z,23.37,23.37,23.37,23.37
2018-07-09T16:30:00Z,24.09,24.09,24.09,24.09
2018-07-09T17:00:00Z,24.1,24.1,24.1,24.1
2018-07-10T18:15:00Z,24.13,24.13,24.13,24.13
2018-07-11T14:00:00Z,23.85,23.85,23.85,23.85
2018-07-13T19:15:00Z,23.85,23.85,23.85,23.85
2018-07-17T16:15:00Z,23.8,23.8,23.8,23.8
2018-07-17T18:45:00Z,23.85,23.85,23.85,23.85
2018-07-18T14:45:00Z,23.92,23.92,23.92,23.92
2018-07-23T15:00:00Z,23.75,23.75,23.75,23.75
2018-07-24T17:15:00Z,24,24,24,24
2018-07-25T14:30:00Z,23.88,23.88,23.88,23.88
2018-07-25T19:30:00Z,23.92,23.92,23.92,23.92
2018-08-02T15:15:00Z,23.72,23.72,23.72,23.72
2018-08-02T15:45:00Z,23.76,23.76,23.76,23.76
2018-08-02T17:45:00Z,23.82,23.82,23.82,23.82
2018-08-10T13:30:00Z,23.77,23.77,23.77,23.77
2018-08-10T14:00:00Z,23.66,23.66,23.66,23.66
2018-08-15T16:30:00Z,23.13,23.13,23.13,23.13
2018-08-15T18:15:00Z,23.09,23.09,23.09,23.09
2018-08-15T18:30:00Z,23.11,23.11,23.1,23.1
2018-08-15T18:45:00Z,23.1,23.1,23.1,23.1
2018-08-16T13:30:00Z,23.31,23.31,23.31,23.31
2018-08-16T14:30:00Z,23.38,23.38,23.38,23.38
2018-08-21T15:00:00Z,23.56,23.56,23.56,23.56
2018-08-30T18:15:00Z,23.46,23.46,23.46,23.46
2018-09-04T18:30:00Z,23.18,23.18,23.18,23.18
2018-09-07T13:30:00Z,22.63,22.63,22.6,22.6
2018-09-11T13:45:00Z,22.55,22.55,22.55,22.55
2018-09-12T13:30:00Z,22.72,22.72,22.72,22.72
2018-09-13T19:30:00Z,22.89,22.9,22.89,22.9
2018-09-21T17:15:00Z,23.67,23.67,23.67,23.67
2018-10-04T18:30:00Z,23.53,23.53,23.53,23.53
2018-10-05T19:45:00Z,23.28,23.28,23.28,23.28
2018-10-10T13:30:00Z,23.22,23.22,23.22,23.22
2018-10-11T15:30:00Z,22.47,22.47,22.47,22.47
2018-10-16T18:15:00Z,22.72,22.72,22.72,22.72
2018-10-16T19:30:00Z,22.74,22.74,22.74,22.74
2018-10-17T14:00:00Z,22.77,22.78,22.77,22.78
2018-10-17T14:15:00Z,22.74,22.74,22.74,22.74
2018-10-17T18:30:00Z,22.8,22.8,22.8,22.8
2018-10-22T15:15:00Z,22.46,22.46,22.3,22.3
2018-10-22T18:00:00Z,22.46,22.46,22.46,22.46
2018-10-26T13:30:00Z,21.77,21.77,21.77,21.77
2018-10-26T18:30:00Z,21.9,21.9,21.9,21.9
2018-11-01T16:30:00Z,22.39,22.39,22.39,22.39
2018-11-05T14:30:00Z,22.68,22.7,22.68,22.7
2018-11-07T15:30:00Z,22.6,22.6,22.6,22.6
2018-11-08T20:45:00Z,22.6,22.6,22.6,22.6
2018-11-21T19:30:00Z,21.88,21.88,21.88,21.88
2018-11-22T14:30:00Z,21.62,21.62,21.62,21.62
2018-11-22T20:15:00Z,21.58,21.58,21.58,21.58
2018-11-23T15:30:00Z,21.41,21.42,21.41,21.42
2018-11-26T14:45:00Z,21.71,21.71,21.71,21.71
2018-11-26T20:45:00Z,21.76,21.76,21.76,21.76
2018-11-28T20:30:00Z,21.74,21.74,21.74,21.74
2018-12-03T14:30:00Z,21.89,21.89,21.89,21.89
2018-12-03T20:00:00Z,21.97,21.98,21.97,21.98
2018-12-12T14:30:00Z,21.23,21.23,21.23,21.23
2018-12-24T17:00:00Z,19.91,19.91,19.91,19.91
2018-12-28T14:30:00Z,20.31,20.31,20.31,20.31
2018-12-28T16:15:00Z,20.39,20.39,20.39,20.39
2018-12-28T18:00:00Z,20.42,20.42,20.42,20.42
2019-01-02T14:30:00Z,20.06,20.06,20.06,20.06
2019-01-03T19:45:00Z,20.25,20.25,20.25,20.25
2019-01-04T16:45:00Z,20.71,20.71,20.71,20.71
2019-01-08T14:30:00Z,20.83,20.83,20.83,20.83
2019-01-08T15:15:00Z,20.85,20.85,20.85,20.85
2019-01-09T14:30:00Z,21,21,21,21
2019-01-10T18:00:00Z,21,21,21,21
2019-01-10T18:15:00Z,21,21,21,21
2019-01-18T14:30:00Z,21.22,21.22,21.22,21.22
2019-01-18T15:15:00Z,21.2,21.2,21.2,21.2
2019-01-22T15:30:00Z,21.02,21.02,21.02,21.02
2019-01-23T19:00:00Z,20.95,20.95,20.95,20.95
2019-01-25T15:15:00Z,21.23,21.23,21.23,21.23
2019-01-28T15:15:00Z,21,21,21,21
2019-02-04T16:45:00Z,21.42,21.42,21.42,21.42
2019-02-04T19:00:00Z,21.5,21.5,21.5,21.5
2019-02-05T14:30:00Z,21.73,21.73,21.73,21.73
2019-02-07T15:15:00Z,21.58,21.58,21.58,21.58
2019-02-07T20:30:00Z,21.47,21.47,21.47,21.47
2019-02-08T14:30:00Z,21.28,21.28,21.28,21.28
2019-02-11T14:30:00Z,21.45,21.45,21.45,21.45
2019-02-13T15:30:00Z,21.78,21.78,21.78,21.78
2019-02-15T19:45:00Z,21.99,22,21.99,22
2019-02-15T20:00:00Z,22,22,22,22
2019-02-19T20:45:00Z,21.88,21.88,21.88,21.88
2019-02-22T17:00:00Z,22.02,22.02,22.02,22.02
2019-02-25T15:45:00Z,22.06,22.06,22.06,22.06
2019-02-26T18:00:00Z,21.9,21.9,21.9,21.9
2019-03-04T14:30:00Z,21.91,21.91,21.91,21.91
2019-03-04T19:15:00Z,21.85,21.85,21.85,21.85
2019-03-04T19:30:00Z,21.86,21.86,21.86,21.86
2019-03-06T14:30:00Z,22.07,22.07,22.07,22.07
2019-03-07T14:30:00Z,21.96,21.96,21.96,21.96
2019-03-07T20:30:00Z,21.87,21.87,21.87,21.87
2019-03-08T14:30:00Z,21.77,21.77,21.77,21.77
2019-03-08T18:00:00Z,21.75,21.75,21.75,21.75
2019-03-11T19:45:00Z,21.94,21.94,21.94,21.94
2019-03-12T19:15:00Z,21.98,21.98,21.98,21.98
2019-03-13T13:30:00Z,22.04,22.04,22.04,22.04
2019-03-13T17:00:00Z,22.1,22.1,22.1,22.1
2019-03-14T18:15:00Z,22.16,22.16,22.16,22.16
2019-03-18T17:15:00Z,22.57,22.57,22.57,22.57
2019-03-19T17:00:00Z,22.65,22.65,22.65,22.65
2019-03-21T13:30:00Z,22.58,22.58,22.58,22.58
2019-03-22T13:30:00Z,22.4,22.4,22.4,22.4
2019-03-22T13:45:00Z,22.34,22.34,22.34,22.34
2019-03-22T18:15:00Z,22.2,22.2,22.2,22.2
2019-03-25T13:30:00Z,22.08,22.08,22.08,22.08
2019-03-26T17:30:00Z,22.06,22.06,22.06,22.06
2019-03-27T14:45:00Z,22.06,22.06,22.06,22.06
2019-04-08T13:30:00Z,22.7,22.7,22.7,22.7
2019-04-26T14:15:00Z,22.63,22.63,22.63,22.63
2019-05-02T13:45:00Z,22.42,22.42,22.42,22.42
2019-05-02T18:15:00Z,22.37,22.37,22.37,22.37
2019-05-07T13:30:00Z,22.1,22.1,22.1,22.1
2019-05-07T15:00:00Z,21.94,21.94,21.94,21.94
2019-05-10T15:15:00Z,21.58,21.58,21.58,21.58
2019-05-14T13:30:00Z,21.51,21.51,21.51,21.51
2019-05-14T18:45:00Z,21.65,21.65,21.65,21.65
2019-05-15T14:00:00Z,21.59,21.6,21.59,21.6
2019-05-17T13:30:00Z,21.81,21.81,21.81,21.81
2019-05-22T18:30:00Z,21.96,21.96,21.96,21.96
2019-05-29T18:45:00Z,21.43,21.43,21.43,21.43
2019-05-31T18:45:00Z,21.16,21.16,21.16,21.16
2019-05-31T19:30:00Z,21.13,21.13,21.13,21.13
2019-06-04T14:30:00Z,21.5,21.5,21.5,21.5
2019-06-05T14:30:00Z,21.42,21.42,21.42,21.42
2019-06-06T13:30:00Z,21.57,21.57,21.57,21.57
2019-06-12T18:45:00Z,21.79,21.79,21.79,21.79
2019-06-14T18:15:00Z,21.75,21.75,21.75,21.75
2019-06-18T14:30:00Z,22.14,22.14,22.14,22.14
2019-06-19T19:00:00Z,22.12,22.12,22.12,22.12
2019-06-26T13:30:00Z,22.15,22.15,22.15,22.15
2019-07-03T18:00:00Z,22.55,22.55,22.55,22.55
2019-07-15T14:15:00Z,22.4,22.4,22.4,22.4
2019-07-22T17:45:00Z,22.17,22.17,22.17,22.17
2019-07-30T13:30:00Z,22.21,22.21,22.21,22.21
2019-08-07T13:30:00Z,20.81,20.81,20.81,20.81
2019-08-07T17:30:00Z,20.92,20.92,20.92,20.92
2019-08-08T15:15:00Z,21.26,21.26,21.26,21.26
2019-08-08T15:45:00Z,21.33,21.33,21.33,21.33
2019-08-15T13:30:00Z,20.6,20.6,20.6,20.6
2019-08-26T13:30:00Z,20.95,20.95,20.95,20.95
2019-08-28T13:30:00Z,20.87,20.87,20.87,20.87
2019-09-13T14:15:00Z,22.15,22.15,22.15,22.15
2019-09-16T13:30:00Z,22.13,22.17,22.13,22.17
2019-09-17T13:30:00Z,22.1,22.1,22.1,22.1
2019-09-18T13:30:00Z,22.02,22.02,22.02,22.02
2019-09-18T19:15:00Z,22.03,22.03,22.03,22.03
2019-09-20T15:45:00Z,22.11,22.12,22.11,22.12
2019-09-23T19:00:00Z,21.93,21.93,21.93,21.93
2019-09-27T15:00:00Z,21.9,21.91,21.9,21.91
2019-10-04T16:45:00Z,21.24,21.24,21.24,21.24
2019-10-11T13:30:00Z,21.8,21.8,21.8,21.8
2019-10-11T13:45:00Z,21.85,21.85,21.85,21.85
2019-10-17T13:30:00Z,22.01,22.01,22.01,22.01
2019-10-31T19:45:00Z,21.81,21.81,21.81,21.81
2019-11-04T20:45:00Z,22.41,22.415,22.41,22.415
2019-11-05T15:00:00Z,22.51,22.51,22.51,22.51
2019-11-15T20:45:00Z,22.67,22.67,22.67,22.67
2019-11-22T17:30:00Z,22.72,22.72,22.72,22.72
2019-11-28T14:30:00Z,22.87,22.87,22.87,22.87
2019-12-03T14:30:00Z,22.25,22.25,22.25,22.25
2019-12-16T16:45:00Z,23.51,23.51,23.51,23.51
2019-12-16T17:15:00Z,23.53,23.53,23.53,23.53
2020-01-07T18:30:00Z,23.43,23.43,23.43,23.43
2020-01-09T15:15:00Z,23.72,23.72,23.72,23.72
2020-01-10T16:30:00Z,23.58,23.59,23.58,23.59
2020-01-10T17:00:00Z,23.56,23.56,23.56,23.56
2020-01-14T14:30:00Z,23.49,23.49,23.49,23.49
2020-01-14T18:30:00Z,23.53,23.53,23.53,23.53
2020-01-15T20:15:00Z,23.29,23.29,23.29,23.29
2020-01-27T14:30:00Z,23.01,23.01,22.83,22.83
2020-01-30T14:30:00Z,22.5,22.5,22.5,22.5
2020-02-10T17:00:00Z,23,23,23,23
2020-02-11T14:30:00Z,23.23,23.23,23.23,23.23
2020-02-11T20:45:00Z,23.215,23.22,23.215,23.22
2020-02-21T19:30:00Z,22.84,22.85,22.84,22.85
2020-02-25T20:15:00Z,21.22,21.22,21.22,21.22
2020-02-27T14:30:00Z,20.71,20.71,20.71,20.71
2020-02-27T15:45:00Z,20.58,20.58,20.58,20.58
2020-02-27T16:45:00Z,20.56,20.56,20.56,20.56
2020-02-28T19:00:00Z,19.85,19.85,19.85,19.85
2020-03-02T16:00:00Z,20.05,20.05,20.05,20.05
2020-03-03T19:00:00Z,19.79,19.85,19.71,19.85
2020-03-03T19:15:00Z,19.86,19.86,19.86,19.86
2020-03-04T19:15:00Z,20.48,20.48,20.48,20.48
2020-03-04T20:45:00Z,20.61,20.61,20.61,20.61
2020-03-05T14:30:00Z,19.91,19.91,19.91,19.91
2020-03-05T16:30:00Z,19.89,19.89,19.89,19.89
2020-03-06T14:30:00Z,19.11,19.11,19.11,19.11
2020-03-06T15:00:00Z,19.09,19.09,19.09,19.09
2020-03-11T17:45:00Z,16.7,16.7,16.7,16.7
2020-03-11T18:15:00Z,16.63,16.63,16.63,16.63
2020-03-11T18:30:00Z,16.67,16.67,16.67,16.67
2020-03-12T13:45:00Z,14.59,14.59,14.5,14.5
2020-03-12T14:00:00Z,14.48,14.48,14.48,14.48
2020-03-12T14:45:00Z,14.4,14.4,14.4,14.4
2020-03-12T16:15:00Z,14.4,14.4,14.395,14.395
2020-03-13T14:15:00Z,15.59,15.59,15.59,15.59
2020-03-16T15:15:00Z,14.17,14.17,14.17,14.17
2020-03-23T14:00:00Z,14.5,14.5,14.49,14.49
2020-04-07T13:45:00Z,16.87,16.87,16.87,16.87
2020-04-16T15:45:00Z,16.35,16.35,16.35,16.35
2020-04-22T16:30:00Z,16.6,16.6,16.6,16.6
2020-05-04T17:00:00Z,16.71,16.71,16.7,16.7
2020-05-06T13:30:00Z,17.04,17.04,17.04,17.04
2020-05-07T18:45:00Z,17.02,17.02,17.02,17.02
2020-05-11T15:30:00Z,17.03,17.03,17.03,17.03
2020-05-12T13:30:00Z,17.19,17.19,17.19,17.19
2020-05-13T17:00:00Z,16.64,16.64,16.64,16.64
2020-05-14T15:00:00Z,16.5,16.5,16.5,16.5
2020-05-19T18:15:00Z,17.3,17.3,17.3,17.3
2020-05-28T13:30:00Z,17.97,17.97,17.97,17.97
2020-05-28T15:00:00Z,17.94,17.94,17.94,17.94
2020-06-11T18:45:00Z,17.97,17.97,17.97,17.97
2020-06-17T13:30:00Z,18.94,18.94,18.94,18.94
2020-06-17T14:00:00Z,18.95,18.95,18.95,18.95
2020-06-17T19:30:00Z,18.82,18.82,18.82,18.82
2020-06-18T18:30:00Z,18.75,18.75,18.75,18.75
2020-06-18T19:15:00Z,18.71,18.71,18.71,18.71
2020-06-24T17:45:00Z,18.41,18.42,18.41,18.42
2020-07-06T14:45:00Z,19,19,19,19
2020-07-13T14:00:00Z,18.82,18.82,18.82,18.82
2020-07-17T15:00:00Z,19.16,19.16,19.16,19.16
2020-08-06T13:30:00Z,18.24,18.24,18.24,18.24
2020-08-06T15:45:00Z,18.18,18.18,18.18,18.18
2020-08-07T18:30:00Z,18.14,18.14,18.14,18.14
2020-08-07T19:30:00Z,18.14,18.14,18.14,18.14
2020-08-10T15:45:00Z,18.24,18.24,18.24,18.24
2020-08-10T17:15:00Z,18.25,18.25,18.25,18.25
2020-08-11T13:30:00Z,18.49,18.49,18.49,18.49
2020-08-11T14:00:00Z,18.52,18.52,18.52,18.52
2020-08-20T15:00:00Z,18.22,18.22,18.22,18.22
2020-08-20T16:30:00Z,18.17,18.17,18.16,18.16
2020-08-24T19:45:00Z,18.42,18.42,18.42,18.42
2020-08-26T14:45:00Z,18.3,18.3,18.3,18.3
2020-08-27T16:15:00Z,18.15,18.15,18.15,18.15
2020-08-28T14:00:00Z,17.98,17.98,17.98,17.98
2020-08-31T13:30:00Z,17.92,17.92,17.88,17.88
2020-08-31T13:45:00Z,17.85,17.85,17.85,17.85
2020-09-03T16:30:00Z,17.62,17.62,17.62,17.62
2020-09-03T19:00:00Z,17.48,17.48,17.48,17.48
